tags,sub_header,text_body,quote_href
"['Facebook Fact-checks', 'Coronavirus', 'TikTok posts']","
Claim that children will be harmed by spike proteins from COVID-19 vaccines is false
","COVID-19 vaccines have been safely tested in and approved for those ages 5 and older, but that has not stopped false, fear-inducing claims about risks of the vaccine to children. A TikTok video posted Jan. 3 shows footage of Dr. Robert Malone saying that when children are given vaccines for COVID-19, ""A viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs."" The caption on the video reads, ""Listen please inventor of vaccine says do not get vaccine."" After the video was posted, the account appears to have been banned from TikTok for repeated violations of community standards. The TikTok video was shared on Facebook and was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) Spike proteins are not toxic, and experts have told fact checkers there is no evidence that the spike proteins damage organs. Malone is the self-proclaimed inventor of messenger RNA vaccines, though that description has been disputed. He has ""leveraged that title to push one false claim after another,"" PolitiFact reported. The Pfizer and Moderna COVID-19 vaccines use mRNA technology to instruct a person’s cells on how to create a piece of a spike protein. It’s the same protein found on the surface of the virus that causes COVID-19, so the immune system learns to recognize and respond to it. The mRNA vaccines ""involve the injection of a small part of the virus’s genetic code … in contrast to the more widespread ‘conventional’ vaccines which use a whole pathogen or fragment,"" Reuters reported. But claiming that the vaccine involves injecting a ""viral gene into your children’s cells"" appears to be a riff on numerous debunked claims that COVID-19 vaccines are a form of gene therapy. The mRNA vaccines do not change a person’s genetic makeup and never enter the part of the cell that hosts DNA. The spike proteins are harmless, do not cause illness and do not last long in the body. And the proteins do not cause long-term damage to organs. ""There is absolutely no evidence that the spike proteins can cause permanent damage to children's vital organs,"" American Academy of Pediatrics fellow Dr. Deborah Greenhouse told AFP Fact Check. We have previously fact-checked other claims about the safety of the spike protein. Each of these fact-checks concluded that there is no evidence that spike proteins are toxic or pose any serious health risk. And there is also no evidence to support the claim that the COVID-19 vaccine causes the body to continuously produce infectious spike bodies in children. A TikTok video shows footage of Dr. Robert Malone saying that when children are given vaccines for COVID-19, ""A viral gene will be injected into your children's cells. This gene forces your child’s body to make toxic spike proteins. These proteins often cause permanent damage in children’s critical organs."" The spike proteins generated by vaccines help trigger the body’s immune response. They are not toxic, do not cause illness and do not last long in the body. Experts say there is no evidence that the proteins cause damage to organs. We rate this claim False. ",/factchecks/2022/jan/07/tiktok-posts/claim-children-will-be-harmed-spike-proteins-covid/
"['Facebook Fact-checks', 'Viral image']","
No, this isn’t a photo of former French education minister Najat Vallaud-Belkacem
","Najat Vallaud-Belkacem, who served as the minister of national education, higher education, and research in France for several years, was born in Morocco.  But an image that’s being shared on social media does not show Vallaud-Belkacem, France’s first female education minister.  ""20 years ago she was herding sheep in Morocco,"" text that tops two side-by-side photos, ""now she is France’s education minister."" One of the photos shows Vallaud-Belkacem leaving a cabinet meeting in October 2014, the year she started serving as minister. The second image shows a child leaning against a staff while sheep graze in the background.  This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) This claim has been online for years, and drew the attention of the French newspaper Le Monde in 2016. The photo of the child was taken by photographer Giacomo Pirozzi in 2006 in Morocco and subsequently published in a UNICEF report, Le Monde said. It shows an 8-year-old girl named Fouzia.  Vallaud-Belkacem, who was born in 1977, would have been about 30 years old that year. She has previously discussed a childhood that included not sheep, but goats. ""Reports in the French press that I was a child shepherd hold a grain of truth: I was born in Morocco and lived in Bni Chiker, a mountain hamlet in the north,"" she said in a 2017 story in the magazine Porter. ""My early childhood was spent as a country girl living with near and extended family, all under one roof. We were quite poor. I helped my grandfather with the goats, drew water from a well, and spent most of the day in flip-flops. I don’t have many specific memories, but I carry with me the feeling of a happy family life."" She goes on to say that she moved to France to join her father in 1982, well before the photo of the girl in Morocco was taken.  We rate claims that this photo shows a young Vallaud-Belkacem False. ",/factchecks/2022/jan/06/viral-image/no-isnt-photo-former-french-education-minister-naj/
"['Facebook Fact-checks', 'Viral image']","
Messages about employer mask requirements for Zoom meetings originated on satire accounts
","Some social media users have been duped or at least confused by online images that suggest employers are requiring remote workers to wear masks on Zoom meetings. ""I am writing you all today to inform you of a new protocol for our staff zoom meetings,"" reads a purported email message depicted in one of the images. ""Moving forward, everyone will be required to wear a mask during our meetings. One of our team members has a fear of unmasked people, and I want to make sure everyone feels safe and comfortable."" ""I’m fuming,"" an image of a tweet posted on Facebook says. ""Zoom meeting this AM (Incorporating Drag in Pre-K Education). Sent memo prior to mtg: ‘Masks required, remember some folx triggered by unmasked faces.’ Despites this, two colleagues remained unmasked until *after* introductions. They apologized, but damage was done."" ""The left is a neverending parade of mental illness,"" one person wrote in response.  This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) Both the email and the tweet originated on satire accounts.  On Dec. 30, @zactokz posted a video saying that he had received an email from his boss saying people needed to wear a mask during Zoom meetings because a colleague had a ""fear of unmasked people."" On Jan. 4, in response to a user asking to see the email, he posted the image now being shared on social media. But his bio notes that his posts are satire.  The tweet, meanwhile, was posted by ""Ann Lesby,"" whose Twitter bio says she is head of gender studies at ""ACL Univ,"" apparently a satirical reference to the ACLU. Her user photo is a stock photo of a ""happy mature businesswoman,"" according to Getty Images, and her other posts include one promoting an Etsy store for ""Woke Baby products"" featuring wall art that says ""Antifa Baby."" We couldn’t find any such store on Etsy. We rate claims that these post are real — and not satire — False.",/factchecks/2022/jan/06/viral-image/messages-about-employer-mask-requirements-zoom-mee/
"['National', 'Public Health', 'Coronavirus', 'Instagram posts']","
No, Tylenol doesn’t ruin your ability to fight COVID-19
","As the highly transmissible omicron variant fuels a surge of COVID-19 cases across the country, treatment advice has ramped up on social media. Some users are warning against the use of Tylenol, with claims that it does more harm than good. Tylenol ""ruins your ability to kill the virus,"" one Instagram post said, adding that an infected person with a fever is better off letting it run its course.  The post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.)  Tylenol is an over-the-counter brand of pain reliever and fever reducer containing acetaminophen. The same ingredient is found in various other brands of pain relievers and over-the-counter medicines. We couldn’t find any evidence that the medication ""ruins"" the body’s ability to neutralize the virus. While a high temperature can help the body fight off a virus, doctors say, running a high fever could also be dangerous. The other claims in the post about Tylenol’s effects are also exaggerated. We’ll first note that it’s best to take medical advice from health care professionals, not from random social media posts, regardless of whether the poster has ""Dr."" in their username. Ben Lynch, the man who posted this image, is a naturopathic doctor who does not have a medical degree. Fever is one symptom of a COVID-19 infection, along with cough and shortness of breath. Common symptoms associated with the omicron variant include a headache, runny nose and sore throat, according to health officials. To treat COVID-19 symptoms at home, Harvard Medical School recommends taking acetaminophen to reduce fever and ease aches, as well as getting enough rest and staying hydrated. But if you are taking any combination cold or flu medicine, keep track of all the ingredients and doses, the medical school says, and don’t exceed a total of 3,000 milligrams of acetaminophen per day. One regular-strength Tylenol tablet has 325 milligrams of acetaminophen. The Mayo Clinic also recommends rest and fluids for treating COVID-19, as well as cough medication and pain relievers such as Tylenol or ibuprofen. For otherwise healthy people — and not specifically for coronavirus — the medical center offers general tips on whether to treat a fever or let it run its course. For example, for adults with a temperature above 102, Mayo recommends acetaminophen, ibuprofen or aspirin. There is some scientific discussion about the potential value of fevers for fighting infection, but experts we spoke with told us they haven't seen anything to suggest that fevers resulting from COVID-19 infections should be treated any differently than those stemming from other infections.  ""It’s true that fever is an immune mechanism that enhances the ability of the body to clear infections, and treatment of mild fever with acetaminophen is not always necessary,"" said Dr. Amesh Adalja, a senior scholar at the Johns Hopkins Center for Health Security. ""However, fevers can be poorly tolerated in some individuals, so acetaminophen is indicated.""  Taking Tylenol before getting a vaccine may initially lower the amount of antibodies a person produces, Dr. Daniel B. Fagbuyi, an emergency room physician and former health adviser to the Obama administration, told PolitiFact. So many doctors recommend against people taking Tylenol before their shots. But there is no strong evidence that the medication affects long-term immune response, and physicians typically recommend taking Tylenol after a vaccine shot, or to treat symptoms from a COVID-19 infection. ""It has not been shown to cause a decrease in the immune response,"" Fagbuyi said.  He added that fevers are the body’s way of fighting an infection and not all are bad, but the post’s language about Tylenol ""ruining"" the body’s ability to kill the virus is inaccurate. Everyone is different, and health experts told us that people should discuss treatment with their doctor. Tylenol can have harmful effects, including liver damage, if it’s taken in excess of recommended doses, or in combination with other drugs. ""Severe damage could occur if people take more than 4 grams of acetaminophen in 24 hours,"" Dr. Ke-Qin Hu, a liver disease specialist at the University of California, Irvine, said in a post about the drug. Even less can cause problems if the medicine is taken with alcohol, he added. But the Instagram post doesn’t include any caveats about dosage in declaring Tylenol ""the worst thing you can use."" An Instagram post claims that Tylenol ruins people’s ability to fight off COVID-19. There’s no evidence that Tylenol does that. Health officials have recommended the use of Tylenol and other fever-lowering medications to treat COVID-19 symptoms. Sometimes people can let a fever run its course, medical experts said, but doing so can be dangerous in certain situations.  Tylenol can have serious side effects when taken in excess of recommended doses. But the post doesn’t mention dosage. We rate this claim False.",/factchecks/2022/jan/05/instagram-posts/no-tylenol-doesnt-ruin-your-ability-fight-covid-19/
"['Supreme Court', 'Facebook Fact-checks', 'Bloggers']","
No, John Roberts didn’t criticize Supreme Court justices’ ‘inappropriate political influence’
","The headline of a recent blog post suggests that Supreme Court Chief Justice John Roberts is attacking his colleagues on the court. ""BUSTED: Chief Justice John Roberts goes after the highest court in the land, citing their ‘inappropriate political influence,’"" the Jan. 3 headline says.  But in reality, Roberts was making a plea to protect the court from political influence. The blog post says as much, but its headline, which was viewed tens of thousands of times on social media, doesn’t make that clear. This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) Roberts issued his annual year-end report on the federal judiciary on Dec. 31. On the first of the nine page report, he quotes former President William Taft, who was appointed to the court by then-President Warren Harding in 1921.  ""During his nine-year tenure, he proved visionary on a matter of vital concern to the entire judiciary: safeguarding and fortifying the independence of the branch,"" Roberts said. ""Taft knew that no one seriously questioned that judges ‘should be independent in their judgements.’ Decisional independence is essential to due process, promoting impartial decision-making, free from political or other extraneous influence. But Taft recognized that courts also require ample institutional independence. The judiciary’s power to manage its internal affairs insulate courts from inappropriate political influence and is crucial to preserving public trust in its work as a separate and co-equal branch of government."" (Emphasis ours.)  Nowhere in the report does Roberts criticize the Supreme Court for ""inappropriate political influence."" Rather, Roberts — after raising issues such as financial disclosure and recusal obligations among federal judges, workplace conduct, and patent cases — discussed the need for the federal judiciary to manage its own internal affairs.  We rate this post False. ",/factchecks/2022/jan/05/blog-posting/no-john-roberts-didnt-criticize-supreme-court-just/
"['Facebook Fact-checks', 'Coronavirus', 'Bloggers']","
Old video clip of Pfizer CEO is not referring to microchips in COVID-19 treatment
","Attempts to corral the COVID-19 pandemic have ranged from testing to vaccines and now to newly approved treatments — and every step of the way, false claims about microchipping have followed. An article published Jan. 2, 2022, was headlined, ""Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!"" The article, published on a website called We Love Trump, was shared on Facebook and was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) The article reads, ""They’re way beyond Vaccine Passports…They’ve moved on to just putting a microchip right in the pill you swallow and then letter (sic) that send out all sorts of data, live from your stomach! Think that sounds crazy? Here is Pfizer CEO Albert Bourla live on video telling you all about it."" However, the video referenced in the story is of Bourla speaking at a World Economic Forum event in January 2018, two years before the COVID-19 pandemic began. He was talking about a drug that had just been approved for treating schizophrenia. In the video, around the 45:27 mark a participant asked the CEO about technology to engage patients who don’t take the medicines they’re supposed to. Bourla answered, ""I think it’s fascinating what’s happening in this field right now. FDA approved the first electronic pill, if I can call it like that."" Bourla then gave a description matching a pill called Abilify MyCite that was approved by the U.S. Food and Drug Administration in November 2017. The pill contained ​​a sensor that could be used to monitor whether the medication was taken. The headline on the Jan. 2 article refers to Pfizer’s ""new pill."" Though the article does not say what this ""new pill"" is, the timing and use of the term ""vaccine passports"" in the headline suggests it’s about a COVID-19-related drug. In December, the FDA approved Pfizer’s new oral antiviral medication, Paxlovid, for at-home treatment of COVID-19. But there is no evidence that Paxlovid contains a microchip, based on media and company reports. The We Love Trump site mentioned the same video clip of Bourla in a different article on Dec. 17, and in that story accurately reported that the video clip was from 2018. The headline on an article shared on Facebook says, ""Pfizer CEO: New Pill Will Have a Microchip That Transmits Info Once You Swallow It!"" The article cites a video of Pfizer CEO Albert Bourla speaking at an event about sensors in pills. But the video was from 2018, about two years before the COVID-19 pandemic. Bourla was talking about a drug that had been approved two months earlier for treating schizophrenia, not any COVID-19 treatment. While Pfizer has a new antiviral medication, Paxlovid, that has been approved for COVID-19 treatment, there is no evidence it contains a microchip. We rate this claim False.   ",/factchecks/2022/jan/05/blog-posting/old-video-clip-pfizer-ceo-not-referring-microchips/
"['Public Health', 'Facebook Fact-checks', 'Ad Watch', 'Coronavirus', 'Save America PAC']","
Biden’s ‘no federal solution’ clip doesn’t save Trump PAC’s attack on Biden and COVID-19 plan
","Donald Trump’s political action committee uses an ad peppered with Joe Biden sound bites to claim that Biden never had a plan to tackle the pandemic. It’s a curious attack. Many Republicans, including supporters of the former president, complain that COVID-19 plans carried out by Biden have gone too far. At the same time, Biden did make a comment over the holidays about there being ""no federal solution."" But Trump’s Save America PAC took Biden’s remark out of context. A post sharing the ad was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) Save America was formed a week after Election Day in November 2020. It is a leadership PAC, which politicians typically use to support or oppose other candidates.  Save America had $90 million in cash on hand as of June 30, according to its latest report to the Federal Election Commission. It spent over $1.4 million on Facebook and Google fundraising ads since March, ""more than many marquee 2022 campaigns,"" the elections newsletter FWIW reported Dec. 3. Save America and Trump are active in 2022 races. They are supporting, for example, Republican Kelly Tshibaka, who is seeking to unseat Sen. Lisa Murkowski, R-Alaska. Murkowski voted to convict Trump in his impeachment trial after the Jan. 6 riot at the U.S. Capitol. Save America’s 30-second video consists of a series of Biden sound bites. In the first half of the ad, the word ""THEN"" appears in a corner of the screen as six clips are played.  Five of the clips are comments Biden made in late October 2020, near the end of his presidential campaign against Trump; and one was made five in January 2021, five days after he took office, our research found.  There’s repetition in what Biden says: ""I am going to shut down the virus.""  ""I’m going to shut down the virus.""  ""I’ll put a plan in place to deal with this pandemic responsibly."" ""I’m going to shut down the virus, not the country."" ""I’m going to shut down the virus."" ""I’m going to shut down the virus."" As the second half of the video begins, the word ""NOW"" appears in a corner of the screen. Only one clip is shown, twice. Biden says, as the words appear in capital letters on the screen: ""Look, there is no federal solution.""  The video ends with this message on this screen: ""Biden never had a covid plan.""  Biden is shown holding an umbrella and walking away from the camera. What the ad presents as its ""gotcha"" moment occurred during a Dec. 27 conference call between Biden and governors about COVID-19. Gov. Asa Hutchinson, R-Ark., expressed concerns to Biden about testing. Here was their exchange: Hutchinson: ""But we also, as governors, are getting pressure to do more, and the need is great to do more in terms of the rapid tests and the availability of it. And so, one word of concern or encouragement for your team is that as you look towards federal solutions that will help alleviate the challenge, make sure that we do not let federal solutions stand in the way of state solutions. And the production of 500 million rapid tests that will be distributed by the federal government is great but, obviously, that dries up the supply chain for the solutions that we might offer as governor ...."" Biden: ""Thank you very much, Asa. Look, there is no federal solution; this gets solved at a state level. I’m looking at (New Hampshire) Governor (Chris) Sununu on the board here; he talks about that a lot. And then it ultimately gets down to where the rubber meets the road, and that’s where the patient is in need of help or preventing the need for help."" Critics might argue that Biden’s pandemic plan has not been adequate — but he had one, as a candidate and as president. Among the actions he’s taken: On Inauguration Day, Biden signed several executive orders, including one that created a new position within the Executive Office of the President of COVID-19 response coordinator; and one requiring mask-wearing on planes, trains, buses and ships. The White House also released a 198-page national COVID-19 response plan. By June, new COVID-19 cases dropped by 95%, largely due to a rollout of vaccines under Biden. In September, after the delta variant caused a new surge in cases, Biden announced a six-part plan. And in December, he announced a plan that included vaccine boosters and in-home testing.  A Republican National Committee tweet sharing the ""no federal solution"" clip gained more than 909,000 views. Save America PAC did not reply to our requests for information to back its claim.  An ad from the Trump-aligned Save America PAC claimed that ""Biden never had a plan"" for COVID-19. The ad seized on a recent Biden remark about the pandemic that ""there is no federal solution."" Biden’s comment was in the context that the fight is not merely a federal one, but is carried out at the state and local levels, as well. Moreover, as a candidate and as president, Biden has advanced a number of plans to counter the virus. We rate the claim False. PolitiFact staff researcher Caryn Baird contributed to this report.",/factchecks/2022/jan/05/save-america-pac/bidens-no-federal-solution-clip-doesnt-save-trump-/
"['Public Health', 'Facebook Fact-checks', 'Coronavirus', 'Facebook posts']","
Claim about omicron risk for the vaccinated is missing key context
","Recent data from the United Kingdom’s Office for National Statistics showed that infected people who had been fully vaccinated and had a booster shot were more likely to test positive for the omicron variant of COVID-19 than were unvaccinated people. But those statistics were shared on social media without some key context, and with a post falsely suggesting that it’s safer not to get vaccinated against COVID-19. A Facebook post reads, ""It feels amazing to know I’m 4.5 times LESS LIKELY to catch #Omicron than a boosted Fauci-ite. Can’t wait to see how the media spins this information. It is preliminary but seems like there’s an inverse relationship between number of vaccinations and chances of infection."" This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) The post shares a screenshot of a graphic from an article in The Daily Skeptic. The data from the U.K. statistics agency used in that article looked at those in the population with a positive COVID-19 test result, then those ""were then looked at to see which characteristics of that population were associated with omicron,"" Jonathan Cooke of the ONS wrote in an email to PolitiFact. The analysis did show that COVID-19-infected people who had received three doses of a vaccine were 4.5 times more likely to have a positive test compatible with omicron compared with an unvaccinated person who tested positive for COVID-19, Cooke said. It’s worth noting that the U.K. studies compared populations of people who had tested positive for COVID-19. Those who didn’t contract omicron would have been infected by another variant, possibly one associated with more serious health effects.  An ONS statement on the analysis said, ""It is too early to draw conclusions from our data on the effectiveness of vaccines against the omicron variant.""  In addition, unvaccinated people are still more likely to catch COVID-19 and have worse outcomes than the fully vaccinated. The U.K. analysis showed 1,816 people testing positive for COVID-19 between Nov. 29 and Dec. 12, with 115 of those 1,816 cases compatible with omicron. People with three vaccine shots accounted for a total of 185 COVID-19 infections, 21 of which were omicron. Unvaccinated people had a total of 536 infections, 14 with the omicron variant. Based on its modeling technique, the agency said fully vaccinated and boosted people who tested positive for COVID-19 were 4.5 times more likely to be infected with the omicron variant than unvaccinated people. A more recent release by ONS from Dec. 3 through Dec. 16 shows the ratio growing to six times.  But, again, that doesn’t mean the unvaccinated didn’t get COVID-19. According to the study, they simply tested positive for a variant of the virus other than omicron. In both analyses, unvaccinated people were more likely to get any variant of COVID-19 than people with three shots, the statistics agency said. In the later period, where there were 2,091 positive cases, there were 262 COVID-19 infections among people with three shots and 99 omicron cases out of those. Unvaccinated people had 559 infections, with 47 being from omicron. ""Our statement on the analysis did make clear, using analysis from our recent characteristics release, that unvaccinated people overall are more likely to test positive for COVID-19, regardless of variant,"" said Cooke.  Reuters fact-checkers found similar posts shared by users on social media also were missing that key context. As in the rest of the world, the omicron variant is spreading rapidly across all U.K. regions, according to ONS data and the UK Health Security Agency, and is now the dominant strain in the U.K. The U.K. set a daily record with 189,846 new COVID-19 infections of any kind on Dec. 31. The UK Health Security Agency said studies using data through Dec. 29 show there is a roughly 50% lower risk of hospitalization for those infected with the omicron variant, compared with the delta variant.  People who are fully vaccinated and boosted who get the omicron variant are 81% less likely to be admitted to a hospital than those who are unvaccinated, the agency said. The studies also show the vaccines have waning effectiveness over time in preventing an omicron infection. Preliminary studies from the University of Edinburgh in Scotland and the Imperial College of London also showed significantly lower risk of hospitalization from omicron than delta. A Facebook post with a graphic claimed that people fully vaccinated and boosted against COVID-19 were 4.5 times more likely than unvaccinated people to catch the omicron variant. The post gives the false impression that unvaccinated people are better protected against COVID-19. The ratio comes from statistics published by the UK’s Office for National Statistics, and it rose to 6 times more likely in more recent data.  However, the Facebook post leaves out key context that is included in the ONS report and in the Daily Skeptic article the graphic posted on Facebook comes from. The agency’s analysis compared people who had tested positive for COVID-19, meaning that those who didn’t contract omicron were infected with another variant, possibly a more dangerous one.  The ONS report clearly states that unvaccinated people are more likely to contract COVID-19 of any strain and that it is too early to draw conclusions from the data about vaccine effectiveness. The statement contains an element of truth but ignores critical facts that would give a different impression. We rate this claim Mostly False.",/factchecks/2022/jan/04/facebook-posts/omicron-risk-claim-vaccinated-missing-key-context/
"['Facebook Fact-checks', 'Facebook posts']","
Other presidents have had lower approval ratings than Biden
","Nearing the end of President Joe Biden’s first year in office, some social media users are casting doubt on his election by comparing the popular vote to poll numbers.  ""Biden got 80 million vote(s) (more than any president ever), yet has the lowest approval rating of any president ever,"" one Dec. 29 post says.  This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) Biden won more than 81 million votes in the 2020 presidential election, more than any other presidential candidate in U.S. history and about 7 million more votes than former President Donald Trump received in 2016. On Dec. 20, NPR, PBS and the Marist Poll released the results of a new survey of 1,400 Americans in mid-December. The poll found that Biden’s job approval rating was 41%, the lowest score of his presidency. But it’s not the lowest approval rating of any president ever, as the Facebook post claims.  In November, for example, NPR and the Marist Poll released the results of another survey that found Biden’s approval rating at 42% among all Americans. ""When comparing Biden to his predecessor, the latest number is just below the highest approval rating (44%) Donald Trump received in our polls during his four years in office,"" the Marist Poll said then. The Gallup Presidential Job Approval Center, drawn from Gallup polls dating back to the Truman presidency, also shows that Biden doesn’t have the lowest approval rating ever.  Former Presidents Harry Truman, Richard Nixon, Jimmy Carter, George H. W. Bush and George W. Bush all had approval ratings below 30%.  RELATED VIDEO  In October, CNN used the Gallup data to conclude that Biden had the second-lowest approval rating of any president that Gallup had measured at that moment in their presidency, about nine months into their term. Trump had a lower rating — 37%. Looking at the most recent data available from Gallup, that was still true.  FiveThirtyEight, which also looks at Biden’s popularity and how he compares with past presidents, reached the same conclusion.   We rate this post False.",/factchecks/2022/jan/04/facebook-posts/other-presidents-have-had-lower-approval-ratings-b/
"['Facebook Fact-checks', 'Coronavirus', 'Instagram posts']","
Danish study shows decline in vaccine protection against omicron is restored with Pfizer booster
","A recent study from Denmark on the Pfizer and Moderna two-dose vaccines showed a sharp and quick decline in their effectiveness against the omicron variant of COVID-19. But some social media posts and articles are misrepresenting what the study shows, its authors said. An Instagram post by Teens Against Mandates shows a headline that reads ""Yale study: Vaccinated people more likely to be infected than those without the jab"" This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) The poster links in the comments to an article in the Rogue Review. That article links to a study posted on medRxiv.org, a site that allows users to post preprints of unpublished manuscripts that have not been peer reviewed. The headline calling it a ""Yale study"" is not correct. MedRxiv was founded by Cold Spring Harbor Laboratory, Yale University and BMJ, a medical research site for health care providers. The site states that ""no endorsement of a manuscript’s methods, assumptions, conclusions, or scientific quality"" is implied by the laboratory, Yale or BMJ. The study was conducted by researchers on the Infectious Disease Preparedness Group at Denmark’s Statens Serum Institut, which states on its website that it’s ""responsible for the Danish preparedness against infectious diseases."" The headline also misrepresents the study’s findings. Nowhere does it suggest that vaccinated people are more likely to be infected than unvaccinated people. ""Interpretation that our research is evidence of anything but a protective vaccine effect is misrepresentative,"" Astrid Blicher Schelde, one of the study’s authors wrote in an email to PolitiFact.  The study measures the effectiveness of the Pfizer and Moderna COVID-19 vaccines against the omicron and delta variants in Danish residents up to five months after a primary vaccine series and uses data from Nov. 20 through Dec. 12, about the time the omicron variant was first reported by researchers in South Africa. The authors wrote that the study showed vaccine effectiveness against both variants after two doses, though they were each more effective against delta. It also found that the vaccine effectiveness declined rapidly against both variants after several months, but that it was restored after a Pfizer booster dose. ""In light of the exponential rise in Omicron cases, these findings highlight the need for massive rollout of vaccinations and booster vaccinations,"" they wrote. The Pfizer vaccine was 55.2% effective against omicron in the first 30 days after two doses, but that dropped to -76.5% after 90 days, the study found. The Moderna vaccine also showed a steep drop in effectiveness from 36.7% to -39.3% in the same time period. A Pfizer booster restored vaccine effectiveness to 54.6%, but there was not enough data on a Moderna booster, the researchers said. The Rogue Review story pointed to the two negative numbers, and said these figures show that those vaccinated with Pfizer are 76.5% more likely to get omicron than the unvaccinated, and that Moderna vaccine recipients are 39.3% more likely to get omicron than the unvaccinated. That’s not what the study concluded. In the discussion section of the study, the authors explained that the negative numbers suggest that different behavior ""and/or exposure patterns in the vaccinated and unvaccinated"" caused underestimation of the vaccines’ effectiveness. ""This was likely the result of omicron spreading rapidly initially through single (super-spreading) events causing many infections among young, vaccinated individuals,"" they wrote. Blicher Schelde said there are several reasons why the number might be negative. First, vaccinated people may test more than unvaccinated people, she said. Also, the data is from the first generations of omicron cases in Denmark, which occurred disproportionately among those who were traveling internationally and people in their social and professional circles who were largely vaccinated, she said. Therefore, there was likely an overrepresentation of vaccinated people. Finally, discrepancies in risk behavior between vaccinated and unvaccinated people will lead to an underestimate of vaccine effectiveness, she wrote, pointing out that the ""increasingly small cohort of unvaccinated people"" in Denmark may take extra precautions because they are not vaccinated. In Denmark, 78.4% of the population have received two doses of a vaccine and 49.5% have received a booster dose, as of Jan. 4. ""To conclude, the vaccines’ protective effect may be low against infection with omicron after four months, but it is most unlikely to be negative,"" Blicher Schelde wrote. Fact checkers from Lead Stories and Reuters also disputed similar claims about the Danish study. An Instagram post claimed that a Yale study showed that vaccinated people are more likely to be infected with omicron than people who are not vaccinated. The claim misrepresents the source and findings of the study. It was done by Danish researchers at the Statens Serum Institut, not by Yale researchers.  The study shows a sharp decline in vaccine effectiveness against omicron over time in people who have received two doses. It also shows that effectiveness is restored with a booster dose of Pfizer, although there is not enough data on a Moderna booster. The authors said the study did not conclude that vaccinated people are more likely to be infected with omicron than people who are not vaccinated. They said their findings prove the need for more vaccinations and booster doses to combat the rapid rise of omicron. We rate this claim False.",/factchecks/2022/jan/04/instagram-posts/danish-study-shows-decline-vaccine-protection-agai/
