tags,sub_header,text_body,sources,quote_href
"['Population', 'Texas', 'Gene Wu']","
Has one-third of Texas seen a 25% population loss?
",,[<zip object at 0x000002809722EF00>],/factchecks/2020/jan/10/gene-wu/has-one-third-texas-seen-25-population-loss/
"['Crime', 'Facebook Fact-checks', 'Facebook posts']","
Many more criminal indictments under Trump, Reagan and Nixon than under Obama, Clinton and Carter
","A Facebook post claimed that there have been 317 criminal indictments in the administrations of three recent Republican presidents — Donald Trump, Ronald Reagan and Richard Nixon — and only three indictments under three recent Democratic presidents — Barack Obama, Bill Clinton and Jimmy Carter. Here’s what the post said about those presidents, whose terms date back to 1969 when Nixon was in office: ""Recent administrations with the MOST criminal indictments:  Trump (Republican) — 215 Nixon (Republican) — 76 Reagan (Republican) — 26 ""Recent administrations with the LEAST criminal indictments:  Obama (Democrat) — 0 Carter (Democrat) — 1 Clinton (Democrat) — 2 ""Notice a pattern?"" Unless an administration official is charged with a crime for acts while in office, it’s not always easy to identify which indictments can be connected to a presidential administration; some administration officials have been indicted for acts in the private sector, some indicted people were involved in presidential campaigns but didn’t work in the administration, etc. This claim exaggerates the number of indictments under Trump, in particular, by counting the number of criminal charges filed, rather than the number of people indicted; and it includes the indictments of people who are not part of his administration, such as 25 Russians. On the whole, however, the indictments under the three GOP presidents do dwarf those under the three Democrats.  An indictment is essentially a two-step process in the federal system: 1. An agency such as the FBI or the IRS investigates possible crimes. If the agency decides to seek criminal charges, the case goes to a grand jury.  2. The grand jury is designed to be an impartial body of citizens drawn from the community that, with the help of prosecutors, conducts its own investigation, in secret. If the grand jury decides that criminal charges should be filed, an indictment is issued.  (Conviction, of course, would occur only after a plea bargain or trial.) The indictment formally charges a person or persons with a criminal offense or offenses. In other words, one indictment can contain multiple criminal charges against a single individual or against multiple individuals. Special Counsel Robert Mueller's investigation into Russian interference in the 2016 U.S. presidential election netted indictments against 34 people and three entities. However, 25 of the people indicted are Russian nationals or Russian intelligence officers. Only six of the 34 indicated are in Trump’s orbit: Paul Manafort (48/25 counts): Former Trump campaign chairman, former lobbyist for Ukrainian officials; crimes alleged not connected to his work for Trump. Convicted of tax and bank fraud. Oct. 30, 2017 indictment (with Gates): Counts 1-6; 10-12: 9. Feb. 13, 2018 indictment: 18. Feb. 22, 2018 superseding indictment (with Gates): Counts 1-5; 10-14; 24-32: 19. Sept. 14, 2018, superseding criminal information: 2. Rick Gates (23 counts): Top deputy to Manafort, former lobbyist for Ukrainian officials; crimes alleged not connected to his work for Trump. Pleaded guilty to lying to investigators and financial fraud related to hiding money he earned lobbying for politicians in the Ukraine along with Manafort. Oct. 30, 2017 (with Manafort): Counts 1-2; 7-12: 8. Feb. 22, 2018 superseding indictment (with Manafort) Counts 6-10; 15-32. Roger Stone (7 counts): Longtime adviser; Trump campaign official dispatched Stone to get information from WikiLeaks about the thousands of hacked Democratic emails in an effort to damage Hillary Clinton’s 2016 presidential campaign. Convicted of obstructing a congressional inquiry, lying to investigators under oath and trying to block the testimony of a witness whose account would have exposed his lies. Michael Cohen (1 count): Longtime Trump lawyer and adviser. Pleaded guilty to a series of criminal charges, including a campaign finance law violation that implicated the president but was unrelated to the Russia interference investigation. George Papadopoulos (1 count): Campaign adviser on foreign policy to Trump. Pleaded guilty to lying to the FBI about his efforts to put the Trump campaign in contact with Moscow. Michael Flynn (1 count): Campaign adviser to Trump and then briefly his national security adviser. Indicted Nov. 30, 2017. Pleaded guilty to lying to the FBI about his discussions with the Russian ambassador Sergey Kislyak during the presidential transition. Flynn and Kislyak had discussed U.S. sanctions against Russia for election meddling. Because of the various indictments filed against Manafort, one could count a total of 48 charges against him. But ultimately he faced 25 charges: He went on trial for 18 charges (and was found guilty of eight of them) and then faced seven more charges (he pleaded guilty to two). So, that’s a total of 58 or 81 charges against Trump associates — not 215. But the claim we’re checking refers not to individual charges but indictments, of which there are only a half dozen directly tied to Trump. We contacted more than a half dozen presidential historians and none said they were aware of a source that lists the number of indictments during the presidential administrations in question. But we did find tallies organized a bit differently in a March 2019 article by FiveThirtyEight. The article counted the number of people indicted in cases made by special counsels, from Watergate through Mueller. Nixon: 28 key indictments. There were 72 indictments charging 68 people (58 were convicted), all in the Watergate scandal or related investigations. But arguably only 28 of the 68 were part of, or closely tied to, Nixon’s administration. They included two of Nixon’s attorneys general, two White House counsels, two secretaries of treasury and a number of White House aides. Click here to see a spreadsheet listing the Watergate indictments. Reagan: 33 people indicted. 18 people indicted (16 convicted) in an investigation of fraud, corruption and influence-peddling within the Department of Housing and Urban Development; 14 people, including Caspar Weinberger and Oliver North, charged (11 convicted) in the Iran-contra scandal, an illicit arms deal with Iran orchestrated by members of the administration; and White House aide Lyn Nofziger was charged (his conviction was overturned) over corruption allegations surrounding Wedtech, a military contractor.  Clinton: 2 officials indicted. Agriculture Secretary Mike Espy was charged (and acquitted) over allegations that he accepted improper gifts from businesses and lobbyists. Housing and Urban Development Secretary Henry Cisneros was convicted (and pardoned) of making false statements to law enforcement about hush money payments to his former mistress. Obama: None. Carter: None.  A Facebook post said that there have been 317 criminal indictments under three recent Republican presidents and only three under three recent Democratic presidents. The claim is essentially on target for the Democratic presidents, but the comparison to the GOP presidents is overstated, because the numbers of Trump and Nixon administration indictments claimed are greatly exaggerated.  Even so, with a generous count, there were roughly 142 people indicted in the three GOP presidents — far less than 317, but far more than the two under the Democrats. We rate the statement Half True.",[<zip object at 0x0000028096750200>],/factchecks/2020/jan/09/facebook-posts/many-more-criminal-indictments-under-trump-reagan-/
"['Corrections and Updates', 'Energy', 'Iran', 'Nuclear', 'Facebook Fact-checks', 'Viral image']","
No, the Clintons and Obama didn’t give nukes and uranium to North Korea, Iran and Russia
","""It’s obvious who the real traitors are,"" begins a Dec. 29 Facebook post featuring photos of former presidents Bill Clinton and Barack Obama, former Secretary of State Hillary Clinton and President Donald Trump. It claims that Bill Clinton ""gave nukes to North Korea,"" Obama ""gave nukes to Iran"" and Hillary Clinton ""gave uranium to Russia.""  The text over the photo of a satisfied-looking Trump says: ""Who betrayed America?""  This post was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.)  We reached out to some energy and arms experts about the Facebook post. Resoundingly, they all told us it’s wrong.  North Korea ""North Korea developed nuclear weapons on their own and, in any event, tested them under George W. Bush,"" said Richard Nephew, a senior research scholar at the Center on Global Energy Policy at Columbia University.  During Bill Clinton’s presidency, amid threats from Pyongyang to pull out of the Nuclear Nonproliferation Treaty, the United States and North Korea negotiated the 1994 Agreed Framework. In the treaty, North Korea agreed to halt production of plutonium, which is used to make nuclear weapons. The country also halted plutonium processing in Yongbyon and froze construction of two other reactors.   The United States considered those reactors ""highly suitable for making plutonium for weapons,"" said Joshua Pollack, editor of the Nonproliferation Review and a researcher at the James Martin Center for Nonproliferation Studies.  In exchange, an international consortium would replace North Korea’s plutonium reactor with two light-water reactors, mostly financed by Japan and South Korea, to provide the energy without nuclear capability. The United States agreed to provide shipments of heavy fuel oil to North Korea to help meet the country’s energy needs until the new reactors were operational.  The United States provided North Korea $400 million in heavy fuel oil until 2003, but the light-water nuclear reactors were never completed. In 2002, U.S. negotiators presented North Korean officials with evidence of a clandestine uranium enrichment program and the Agreed Framework treaty broke down during the George W. Bush administration. Iran Iran, meanwhile, doesn’t have nuclear weapons. The 2015 Iran nuclear deal reached by countries including the United States during the Obama administration actually required Iran to curtail its uranium enrichment activities and redesign a reactor that was under construction that ""would have been very useful for making plutonium for weapons,"" Pollack said.  By agreeing to the deal, Iran pledged to forgo 97% of its stockpile of enriched uranium. It also said it would give up 14,000 of its 20,000 centrifuges — the machines used to enrich uranium — and would only enrich uranium to a level unsuitable for weapons for at least 10 years. In short: the country committed to not pursuing nuclear weapons and faced obstacles if it broke that promise. Iran’s nuclear activity was subject to international monitoring and the United States and other members of the United Nations Security Council agreed to relax sanctions imposed on the country.  In 2018, Trump announced that the United States would be withdrawing from the agreement. Since then, Iran has inched away from some of its commitments. The deal is weakened, but not entirely dead. And the amount of time Iran would need before it can produce a nuclear weapon has slowly but steadily shrunk. Russia As for Russia, ""the Hillary Clinton and uranium claim is totally without merit,"" said Siegfried Hecker a professor emeritus at Stanford University and a former director of the Los Alamos National Laboratory.  By the time the Soviet Union dissolved, Russia had more than 1 million kilograms of highly enriched uranium, Hecker said. To put that in context, it only takes a few 10s of kilograms to make one bomb he said. During Bill Clinton’s presidency, Russia actually sold to the United States 500,000 kilograms of uranium that had been diluted so that it was suitable for power plants.  As secretary of state, Hillary Clinton did serve on a government board that ultimately approved a transfer of ownership of uranium mines, but she wasn’t the deciding vote. A panel of several departments and agencies were part of its approval.  As we’ve previously reported, Uranium One, a Toronto-based company, had mines, mills and tracts of land in Wyoming, Utah and other U.S. states. In 2009, Russia’s nuclear energy agency, Rosatom, bought a 17% share of Uranium One. In 2010, Rosatom sought to secure enough shares to give it a 51% stake.  Russia doesn’t have a license to export uranium outside the United States but the possibility that a foreign entity would take a majority stake in the uranium operation meant that the Committee on Foreign Investment in the United States (CFIUS) had to approve the deal. The U.S. Nuclear Regulatory Commission and Utah’s nuclear regulator also needed to sign off. Because CFIUS membership includes the U.S. State Department, the secretary of state would have had a voice in the decision. That panel also includes the attorney general, the secretaries of treasury, defense, commerce, energy and homeland security, and the heads of the office of the U.S. Trade Representative and the Office of Science and Technology Policy. CFIUS approved the proposal, and in 2013, Russia assumed 100% of Uranium One and renamed the company Uranium One Holding. Jeffrey Lewis, a nuclear nonproliferation expert at the Middlebury Institute, told PolitiFact in 2016 that Russia’s purchase of the company was probably approved because it ""had as much of an impact on national security as it would have if they set the money on fire.""   Our ruling Republican and Democratic presidential administrations in the United States have all tried to stop Iran and North Korea from making nuclear weapons, said Daryl Kimball, executive director of the Arms Control Association, based in Washington, D.C. Russia, meanwhile, ""has mined and produced more uranium, including highly-enriched uranium which can be used for nuclear weapons, than they know what to do with.""  After working in nuclear arms control and nonproliferation for 30 years, Kimball said he’s never seen ""something that is so blatantly wrong"" as the allegations in the Facebook post.  ""Each of these three claims is false,"" he said, ""Period."" That’s our rating, too: False.",[<zip object at 0x0000028096884680>],/factchecks/2020/jan/09/viral-image/no-clintons-and-obama-didnt-give-nukes-and-uranium/
"['Ethics', 'Transportation', 'Facebook Fact-checks', 'Facebook posts']","
Did Trump DOT secretary Elaine Chao use grant to help her husband Mitch McConnell's re-election bid?
","A YouTube headline claimed that Elaine Chao, President Donald Trump’s transportation secretary, was caught improperly using her office to help re-elect her husband, Senate Majority Leader Mitch McConnell. McConnell, who is seeking a seventh term to his Kentucky seat in 2020, is the top-ranking Republican in Congress. But, according to Morning Consult polling for the third quarter of 2019, he is also the most unpopular senator in the country among voters in his state. ""Elaine Chao BUSTED Sending $97 Million Contract To Help Mitch McConnell Win Reelection,"" says the headline, which also appeared on other websites and social media. The headline linked to a video from The Ring of Fire show on YouTube, which elaborated on the claim, primarily by referring to a Dec. 17 Politico expose. What we found:  Chao did get busted in the conversational sense of the word — her actions providing unusual help to Kentucky were exposed and they also drew criticism from a federal watchdog agency.  But the claim significantly overstates the amount of the grant (not a contract). And even though it certainly gave McConnell something to crow about in his campaign, the grant occurred more than two years before voters will go to the polls in November 2020.   In June 2018, the U.S. Department of Transportation gave a $67 million interstate highway improvement grant — not a $97 million contract — to Boone County.  The county, Politico reported, is ""a rapidly growing suburban district of political importance"" to McConnell.  The county was one of 26 grant winners out of 258 initial applicants. In June 2019, the Government Accountability Office, a top federal watchdog, faulted DOT in a report for failing to document why Boone County and 41 other grant applicants that had initially submitted incomplete applications were allowed to revise them, while 55 other applicants were not.  ""It really invites skepticism, and it raises questions about the integrity of the process and ultimately the decisions that are made,"" Susan Fleming, director of GAO's physical infrastructure team, told Politico. ""Are these decisions driven by merit? Or are they driven by other factors?"" Boone County officials were in contact with Chao’s aide, Todd Inman, during the grant application process.  Inman is a former McConnell campaign staffer. ""Chao’s alleged favoritism toward Kentucky has become a focus of scrutiny following revelations that she had designated Inman as a special point-of-contact for Kentucky officials,"" the Politico article says.  The DOT said the Inman communication was coincidental and that Boone County’s application was among those ""best aligned"" with the grant criteria. In a later Fox News Radio interview, Chao dismissed the claims of favoritism as mere politics.  An earlier Politico article, in June 2019, revealed that Chao had designated Inman to help with grant applications and other priorities from Kentucky, ""paving the way for grants totaling at least $78 million for favored projects as McConnell prepared to campaign for reelection."" Inman had stated in an email to McConnell’s Senate office that Chao had personally asked him to serve as an intermediary ""on grants with special significance for McConnell."" McConnell dismissed that report at the time, suggesting at a news conference that he had discussed federal projects with Chao and that she hadn’t steered enough funds to his state. ""You know, I was complaining to her just last night: 169 projects, and Kentucky got only five. I hope we’ll do a lot better next year,"" McConnell said. It’s worth noting that McConnell announced his re-election bid in August 2018 — two months after the grant was announced, but more than two years ahead of the 2020 election. A social media post claimed: ""Elaine Chao BUSTED Sending $97 Million Contract To Help Mitch McConnell Win Reelection."" Chao’s agency gave a Kentucky county a $67 million grant, not a $97 million contract, so the amount claimed is overstated by nearly half. Chao was ""busted,"" in the colloquial sense of the word, in that it was revealed that the county had initially submitted an incomplete grant application, but eventually won the funds after consulting with an aide to Chao — who formerly worked on McConnell’s campaign. The process also drew criticism from the Government Accountability Office. The grant helped McConnell’s re-election bid in that it is the largest transportation grant received in Kentucky during the Trump administration. Voters could view that favorably come Election Day. The statement is partially accurate, our definition of Half True.",[<zip object at 0x00000280979D2900>],/factchecks/2020/jan/09/facebook-posts/did-trump-dot-secretary-elaine-chao-use-grant-help/
"['National', 'Military', 'Islamic Republic News Agency']","
False image of missile strike on U.S. troops shared by Iran outlet
","An Iranian news agency tweeted a photo claiming it showed U.S. planes on fire this week after Iran launched missile strikes. The photo in the tweet and linked story, however, is from November, involves Israeli strikes, and doesn’t show U.S. planes on fire. Islamic Republic News Agency, which calls itself the official news agency of Iran, on Jan. 7 tweeted the image and text that said: ""US planes in fire after #Iran's missile attack: Source http://bit.ly/39P6gnq #IranvsUSA #Solemani #IranAttacks #AinAssad."" The photo in the tweet also appeared in the linked news story. But the photo actually shows the impact of a Nov. 15, 2019, Israeli missile strike in the Gaza Strip. BBC in November used that photo in a news story and credited it to the AFP. Getty Images’ caption for the photo in part says: ""A ball of fire is seen following an Israel airstrike in Khan Yunis in the southern Gaza Strip early on November 15, 2019."" Getty credits the image to Abed Rahim Khatib/AFP. Some Twitter users replied to the news agency’s tweet, questioning why it was recycling the old image and noting that it was from November. Other Twitter users more broadly claimed that ""Iran’s online operatives"" were re-using old pictures. This is not the only case of old images being repurposed and falsely labeled as showing the most recent air strikes against U.S. military. Our reporting found that additional images and videos of older missile strikes by Iran and Israel were also shared widely on Facebook, falsely identified as being from this week’s Iranian strikes. The Islamic Republic News Agency shared an image on Twitter giving the inaccurate impression that it showed U.S. planes on fire after Iranian strikes this week. We rate the claim False.",[<zip object at 0x0000028097304BC0>],/factchecks/2020/jan/09/islamic-republic-news-agency-islamic-republic-news/iranian-news-agency-shares-old-photo-israeli-missi/
"['National', 'Medicare', 'Social Security', 'Bernie Sanders']","
Did Biden laud a Paul Ryan proposal to cut Social Security as Bernie Sanders’ campaign said?
","Sen. Bernie Sanders argues that former Vice President Joe Biden sided with a Republican effort to cut Social Security. ""In 2018, Biden lauded Paul Ryan for proposing cuts to Social Security and Medicare,"" wrote the Sanders campaign in a Jan. 7 newsletter. The night before on CNN, Sanders had attacked Biden’s record on Social Security and Medicare. Ryan is a former Republican House speaker who proposed sweeping changes to Social Security that were never enacted.  We found that the Sanders campaign newsletter distorts what Biden said about Ryan’s plan. The Sanders campaign pointed to a speech Biden gave to the Brookings Institution in April 2018. Biden’s overall message was that ""folks in the middle class are in trouble"" and that the tax code ""is widely skewed toward taking care of those at the very top."" Biden argued that tax cuts were creating more debt, putting middle class programs at risk.  The Sanders campaign plucked out what Biden said about Ryan, but ignored the complete passage which showed that Biden wanted Social Security and Medicare protected, and to accomplish that goal would require making changes to the tax code. The thrust of his point about the tax code was that he was saying it does too much to help the uber rich.  This is what Biden said about Ryan: ""Paul Ryan was correct when he did the tax code. What’s the first thing he decided we had to go after?"" Biden said, with a slight smirk. Biden then leaned into the microphone and said in a deep menacing voice: ""Social Security and Medicare.""  Biden continued: ""Now, we need to do something about Social Security and Medicare."" He then sarcastically whispered: ""That’s the only way you can find room to pay for it.""  The Biden campaign said that he was mocking Ryan. To understand Biden’s tone, you have to actually watch and listen to his words. The snippet of written text, which the Sanders’ campaign newsletter used, doesn’t relay Biden’s full point.  The Sanders campaign omits what Biden said next (our emphasis is in bold): ""Now, I don’t know a whole lot of people in the top one-tenth of 1 percent or the top 1 percent who are relying on Social Security when they retire. I don’t know a lot of them. Maybe you guys do. So we need a pro-growth, progressive tax code that treats workers as job creators, as well, not just investors; that gets rid of unprotective loopholes like stepped-up basis; and it raises enough revenue to make sure that the Social Security and Medicare can stay, it still needs adjustments, but can stay; and pay for the things we all acknowledge will grow the country."" We sent Biden’s speech to Marc Goldwein, senior vice president for the Committee for a Responsible Federal Budget. ""The 2018 speech is very clearly Biden saying the opposite of what the Sanders campaign is claiming. He’s saying that Paul Ryan is going to cut taxes so that he can complain about the deficit and demand a need to cut Social Security."" Biden was previously critical of Social Security and Medicare proposals by Republican presidential nominee Mitt Romney and Ryan, his running mate in 2012. RELATED FACT-CHECK: Biden said Romney and Ryan support ""massive cuts in Social Security for future generations"" During the 2020 campaign, Biden promised to ""prevent cuts to American retirees."" The reality is that if nothing changes, the $1 trillion-a-year Social Security program is on track to run out of reserves by about 2035. RELATED STORY: Social Security: A critical program with an uncertain future A Sanders campaign newsletter said, ""In 2018, Biden lauded Paul Ryan for proposing cuts to Social Security and Medicare."" That stems from a speech Biden gave in 2018 in which he spoke about Ryan. Biden appeared to be mocking Ryan, not praising him. The Sanders campaign omitted what Biden said next: the importance of protecting Social Security and Medicare and to change the tax code, which he said benefitted the mega rich. Overall, the point of Biden’s speech was to criticize tax cuts for the rich and call for more help to the middle class.  The Sanders campaign plucked out part of what Biden said but omitted the full context of his comments. We rate this statement False. ",[<zip object at 0x0000028097D41CC0>],/factchecks/2020/jan/09/bernie-sanders/did-biden-laud-paul-ryan-proposal-cut-social-secur/
"['Fake news', 'Facebook Fact-checks', 'Bloggers']","
No, Pelosi never told Iran that Trump will ‘pay’ for Soleimani’s killing
","A viral story’s claim about House Speaker Nancy Pelosi assuring Iran that President Donald Trump will faces consequences for ordering the killing of a top-ranking Iranian general contains no details or credible sources. It is based entirely on a fabricated story originally posted by a satirical blog. A website called Massachusetts Daily posted the article on Jan. 6 with the headline, ""Nancy Pelosi Assures Iran That Trump Will ‘Pay For His Crimes.’"" The article was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) The Massachusetts Daily story states that Pelosi ""may have just committed treason"" after she allegedly sent a letter to Iran’s embassy, apologizing for the killing of Iranian Maj. Gen. Qassem Soleimani and insisting Trump would pay. The article goes on to say that Pelosi apologized in advance for upcoming military strikes and said she was sorry ""for any inconvenience."" None of it is true. This concocted account was copied and pasted word-for-word from a post by a satire blog called ""Taters Gonna Tate."" That site contains a disclaimer that says, ""Everything on this website is fiction."" The Massachusetts Daily website, on the other hand, contains no such disclaimer. Its home page contains a number of stories that are simply made-up like this one. We rate this story Pants on Fire!",[<zip object at 0x00000280971C44C0>],/factchecks/2020/jan/09/blog-posting/no-pelosi-never-told-iran-trump-will-pay-soleimani/
"['Foreign Policy', 'Facebook Fact-checks', 'Instagram posts']","
Did Iran place an $80 million bounty on Donald Trump's head?
","Amid tensions between the United States and Iran, posts on social media have said that Iran has placed a large bounty on President Donald Trump. ""A bounty of $80 MILLION has been placed on President Donald Trump’s head by Iran as tensions between the country and the USA rise,"" said one representative Instagram post that received more than 380,000 likes as of Jan. 8, two days after it was posted. The image was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.)  The post and others like it are based on actual events related to the death of high-ranking Iranian official Qassem Soleimani due to a U.S. drone strike on Jan. 2. However, many of the posts are misleading because they leave out important context. Reports of an $80 million bounty stem from remarks at Soleimani’s funeral procession in the northeastern city of Mashhad that were aired on Iranian state television. Footage from state TV, including the remarks in the original Farsi, were tweeted by NBC News Tehran correspondent Ali Arouzi.  At the funeral procession, which was a highly choreographed, state-run event with a national audience, a speaker called on Iranians ""to donate $1 each in order to gather an $80 million bounty on President Trump’s head,"" Arouzi wrote. The population of Iran is a little bit over 80 million, so $1 each would be roughly $80 million. There’s a caveat, however. The $80 million bounty was a suggestion by a eulogist at the funeral — not official Iranian government policy. We asked Farhad Souzanchi — a Farsi speaker who founded the Rouhani Meter fact-checking website, which covers Iranian politics — to review the video clip from the funeral. Souzanchi said that Arouzi’s summary of the speaker’s words was accurate. Souzanchi said the eulogist prefaced his remarks by saying that ""this is a voluntary suggestion from the people of Mashhad on behalf of all Iranians."" While the bounty has made a splash on U.S. social media, Souzanchi, who monitors Iranian media, told PolitiFact that the bounty proposal ""hasn't made much news"" in Iran. He said the speaker, whose identity PolitiFact has been unable to confirm, was not familiar to him either.  Other Iran experts urged not taking the bounty threat too seriously. ""I would not touch it with a 10 foot pole,"" said Mark J. Gasiorowski, a specialist in Iran and the Middle East at Tulane University. Arang Keshavarzian, an associate professor of Middle East studies at New York University, said he agrees with Souzanchi that there’s no indication in the Iranian media that the bounty is becoming a serious policy proposal. Social media posts have said Iran has placed a bounty of $80 million on Trump’s head. A eulogist at Soleimani’s funeral made this proposal, but there is no evidence that it is something being seriously considered by the Iranian government We rate the statement Mostly False.",[<zip object at 0x0000028097644A80>],/factchecks/2020/jan/09/instagram-posts/did-iran-place-80-million-bounty-donald-trumps-hea/
"['Crime', 'Guns', 'Virginia', 'Philip Van Cleave']","
Are most murders 'gangbangers killing gangbangers,' as Van Cleave says?
","A leading gun rights activist says Democratic lawmakers are trying to penalize law-abiding firearm owners for violence committed by gangs. The charge was made by Philip Van Cleave, president of the Virginia Citizens Defense League, during a Dec. 9 rally at the state Capitol. His group was protesting a series of gun restrictions proposed by Democrats, who in November elections, won control of both General Assembly chambers for the first time this century. Working with Democratic Gov. Ralph Northam, the new majority is calling for universal background checks on firearm buyers, an assault weapons ban, a one-handgun-a-month purchase limit, and a red-flag law that would allow authorities to temporarily take guns from people deemed a threat to themselves or others. With urging from Van Cleaves’ group and other pro-gun interests, more than 100 localities have declared themselves ""Second Amendment Sanctuaries""  that won’t enforce gun restrictions they think are unconstitutional. Van Cleave, in a speech at the rally, said Democrats should focus on stopping crime instead of restricting guns. He blamed gun violence mostly on gangs.  ""Let’s fix crime,"" he said. ""You know what? If you took an X-Acto pen to certain parts of every city in the state and around the country; if you cut it out and could take it off the map, murders would drop to almost zero. It’s usually gangbangers killing gangbangers."" We fact-checked his claim that homicides in Virginia and across the nation usually involve gang members killing one another. Our search for national statistics kept sending us to discontinued data once compiled by the National Gang Center under the Department of Justice.  Based on annual surveys of local law enforcement agencies, the Center tallied 11,934 ""gang-related"" homicides in the U.S. from 2007 through 2012. The FBI reported 93,253 total murders during the span. Comparing the numbers, the Center estimated that ""gang-related homicides typically accounted for around 13% of all homicides annually."" That’s far below Van Cleave’s claim that most murders are gang-related. But the Center had concerns about the reliability of its gang-related homicide numbers and stopped collecting them after 2012. It put an asterisk on top of its chart with the note urging ""caution"" in interpreting the results. In footnotes, the Center explained that localities had different ways of defining the term ""gang-related."" The Center tallied 1,975 gang-related murders in 2007, and 2,363 in 2012 - a 24% increase. ""The occurrence of gang homicides was highly concentrated in very large cities, with a small subset of these cities accounting for most of the increase over previous years,"" it wrote in footnotes. We asked Van Cleave where he got his information that most murders, nationally and in Virginia are ""gangbangers killing gangbangers."" He didn’t provide a specific answer. Van Cleave noted there are high murder rates in some cities where gangs are prevelant. He urged us to call the state medical examiner’s office for data on Virginia. Maria Reppas, communications director of the state Department of Health - which oversees the chief medical examiner - said the department doesn’t collect data on gang-related murders. The State Police don’t keep such records, either, according to Corinne Geller, the agency’s public relations director. Nor does the Virginia State Crime Commission, said Kristen Howard, executive director of the study group. They said they were unaware of any state statistics on gang-related murders. In opposing gun control measures, Van Cleave says murders in the U.S. and Virginia are ""usually gangbangers killing gangbangers.""  Our search turned up only one set of statistics, and it casts doubt on Van Cleave’s statement. The National Gang Center estimated that from 2007 through 2012, 13% of U.S. homicides were gang-related. But it stopped collecting the data after that, noting that police departments around the nation were submitting counts based on varying definitions of ""gang-related.""  We couldn’t find any statistics on gang-related murders in Virginia. The State Police, the Crime Commission, and the Department of Health (to which Van Cleave indirectly referred us) said they don’t keep such records and did not know where they might exist. So the burden of proof falls on Van Cleave to prove his claim, and he offers nothing concrete. We rate his statement False.  ",[<zip object at 0x0000028096884540>],/factchecks/2020/jan/09/philip-van-cleave/are-most-murders-gangbangers-killing-gangbangers-v/
"['Immigration', 'Fake news', 'Facebook Fact-checks', 'Guns', 'Facebook posts']","
Fact-checking Facebook post on gun registry, immigrants here illegally
","A thinking face emoji trails this question being shared on Facebook: ""Why are guns required to be registered, but illegal immigrants aren’t???"" The graphic with the question and emoji was flagged as part of Facebook’s efforts to combat false news and misinformation on its News Feed. (Read more about our partnership with Facebook.) The question’s underlying facts are flawed. There is no national registry of all people here illegally, and most states do not require gun owners to register their weapons. Immigrants in the country illegally generally have either overstayed the length of a visa or come into the country without authorization and proper documentation. The federal government has immigration records of people issued a deportation order or released from immigration custody pending a final resolution of their case. But there isn’t a database listing everyone who is in the country illegally. Gun owners don’t have to catalog their firearms in a national register, and the majority of states don’t require firearm registration. Some states even have laws to prohibit gun registries, according to the National Rifle Association, or NRA. However, six states — California, Connecticut, Hawaii, Maryland, New Jersey, and New York — require the registration of certain firearms, such as assault weapons, according to the Giffords Law Center, which favors laws requiring gun registration. Hawaii and the District of Columbia require the registration of all firearms; and while California does not have a traditional gun registry, it has a similarly functioning system, the Giffords Law Center said. The Facebook post in its question form implies that guns are required to be registered, but that’s not the case nationally. Only a few states require the registration of some or all firearms. The post contains an element of truth but ignores critical facts that would give a different impression. We rate it Mostly False.",[<zip object at 0x0000028097A64180>],/factchecks/2020/jan/08/facebook-posts/fact-checking-facebook-post-gun-registry-immigrant/
