name_txt,name_href,description_txt,quote_txt,quote_href,meter,footer
"
Mark Warner
",/personalities/mark-warner/,"
stated on October 20, 2014 in a TV ad.:
","
Ed Gillespie’s ""firm even lobbied for five foreign governments, including a dictator now awaiting trial for war crimes.""
",/factchecks/2014/oct/24/mark-warner/warner-says-gillespies-firm-lobbied-brutal-dictato/,half-true,"
By Nancy Madsen • October 24, 2014
"
"
EMILY's List
",/personalities/emilys-list/,"
stated on October 21, 2014 in a TV ad:
","
Says Scott Walker is ""forcing some women to undergo a transvaginal probe to get an abortion.""
 
",/factchecks/2014/oct/24/emilys-list/scott-walker-forces-some-women-get-transvaginal-ul/,half-true,"
By Tom Kertscher • October 24, 2014
"
"
Republican State Leadership Committee
",/personalities/republican-state-leadership-committee/,"
stated on October 9, 2014 in a radio ad:
","
""95 percent of job creators say Wisconsin is headed in the right direction.""
",/factchecks/2014/oct/24/republican-state-leadership-committee/nearly-all-wisconsin-job-creators-say-state-going-/,half-true,"
By Tom Kertscher • October 24, 2014
"
"
Allan Fung
",/personalities/allan-fung/,"
stated on October 21, 2014 in a Providence Journal-WPRI-12 debate:
","
""Governor Carcieri has not been campaigning with me.""
",/factchecks/2014/oct/24/allan-fung/allan-fung-former-ri-gov-donald-carcieri-has-not-b/,true,"
By C. Eugene Emery Jr. • October 24, 2014
"
"
Nathan Deal
",/personalities/nathan-deal/,"
stated on October 7, 2014 in debate:
","
Jason Carter never passed a bill in his tenure in the state Senate.
 
",/factchecks/2014/oct/24/nathan-deal/deal-correct-carter-hasnt-passed-bill/,mostly-true,"
By Nancy Badertscher • October 24, 2014
"
"
Ted Cruz
",/personalities/ted-cruz/,"
stated on October 19, 2014 in an interview on CNN:
","
""Obama, instead of nominating a health professional, he nominated someone who is an anti-gun activist (for surgeon general).""
",/factchecks/2014/oct/23/ted-cruz/cruz-obamas-surgeon-general-pick-not-health-profes/,false,"
By Lauren Carroll • October 23, 2014
"
"
Greg Abbott
",/personalities/greg-abbott/,"
stated on October 15, 2014 in a letter to David Feldman, Houston's city attorney:
","
A lawyer demanded ""several Houston pastors hand over to the city government many of their private papers, including their sermons.""
",/factchecks/2014/oct/23/greg-abbott/greg-abbott-says-houston-city-attorney-subpoenaed-/,true,"
By Dylan Baddour • October 23, 2014
"
"
Allen West
",/personalities/allen-west/,"
stated on October 20, 2014 in a tweet:
","
""U.S. troops are getting only 4 hours of Ebola training before deployment to Liberia.""
",/factchecks/2014/oct/23/allen-west/do-us-troops-get-just-4-hours-ebola-training/,barely-true,"
By Jon Greenberg • October 23, 2014
"
"
Mary Burke
",/personalities/mary-burke/,"
stated on October 21, 2014 in a campaign TV ad:
","
Six convictions are connected to an allegation by prosecutors ""that Gov. Scott Walker is at the center of a criminal scheme.""
",/factchecks/2014/oct/23/mary-burke/mary-burke-ad-leaves-impression-scott-walker-cente/,false,"
By Dave Umhoefer • October 23, 2014
"
"
No Tax For Tracks
",/personalities/no-tax-tracks/,"
stated on September 29, 2014 in a debate about Greenlight Pinellas:
","
Photos prove the Denver light rail system has low ridership.
",/factchecks/2014/oct/23/no-tax-tracks/greenlight-pinellas-opponents-argue-denver-light-r/,false,"
By Joshua Gillin • October 23, 2014
"
"
Scott Walker
",/personalities/scott-walker/,"
stated on October 17, 2014 in a debate:
","
The projected $1.8 billion state budget shortfall for 2015-’17 ""actually comes from an assumption based on zero growth. That just doesn’t happen.""
",/factchecks/2014/oct/23/scott-walker/scott-walker-says-budget-shortfall-prediction-base/,barely-true,"
By Dave Umhoefer • October 23, 2014
"
"
Citizens Against Rail Taxes
",/personalities/citizens-against-rail-taxes/,"
stated on October 8, 2014 in a radio ad:
","
None of $400 million the City of Austin proposes to spend on road projects ""will be used to add new lanes to congested roadways.""
",/factchecks/2014/oct/23/citizens-against-rail-taxes/anti-rail-group-incorrect-city-proposition-envisio/,false,"
By W. Gardner Selby • October 23, 2014
"
